x0,x1,x2,y,x3,x4,x5,x6,x7,x8
A2,A50,A1,180,5,11,0.56,1,171.0,422.14285714285717
A2,A26,A1,150,3,11,1.56,1,49.0,429.7142857142857
A1,A103,A1,40,10,4,0.11,1,0.0,277.0
A0,A11,A0,33,3,56,3.19,8,305.0,429.2857142857143
A0,A71,A0,85,1,1,0.03,1,,280.14285714285717
A2,A13,A0,160,3,3,0.38,1,5.0,420.0
A0,A62,A0,70,5,0,,1,0.0,
A2,A4,A0,70,1,206,2.72,1,,429.2857142857143
A2,A38,A0,40,1,0,,1,0.0,
A0,A0,A0,50,1,0,,1,0.0,
A2,A45,A1,120,2,4,0.11,1,0.0,284.0
A2,A44,A0,475,1,0,,14,,
A1,A23,A0,50,1,22,1.53,7,,430.0
A2,A72,A1,200,30,0,,91,310.0,
A2,A21,A0,78,1,8,0.35,2,0.0,335.0
A2,A83,A0,89,3,9,0.18,1,0.0,267.57142857142856
A2,A19,,60,2,16,1.75,2,0.0,404.42857142857144
A0,A1,A1,74,4,1,0.05,1,0.0,339.7142857142857
A2,A44,A1,99,1,172,4.33,1,213.0,428.57142857142856
A0,A15,A1,1763,60,0,,1,0.0,
A2,A28,A1,3800,30,2,0.06,1,180.0,304.57142857142856
A0,A15,A1,175,3,1,0.2,1,0.0,411.0
A3,A49,A0,35,1,14,0.7,2,1.0,431.14285714285717
A2,A33,A1,122,3,34,0.68,1,0.0,326.2857142857143
A2,A13,A0,51,1,1,0.02,1,,249.14285714285714
A2,A40,A1,130,30,2,0.04,52,335.0,239.57142857142858
A0,A0,A1,110,2,4,0.3,1,0.0,424.85714285714283
A0,A16,A0,80,1,4,1.79,2,22.0,427.57142857142856
A2,A44,A0,975,30,0,,1,363.0,
A0,A1,A0,45,5,20,0.38,1,52.0,343.0
A0,A62,A1,190,3,3,1.8,1,,426.7142857142857
A0,A36,A1,125,30,6,0.23,3,55.0,409.42857142857144
A2,A35,A1,200,4,6,0.31,1,0.0,405.57142857142856
A1,A5,A0,110,4,40,1.41,2,47.0,431.57142857142856
A2,A44,A0,130,2,2,0.13,1,0.0,377.57142857142856
A0,A15,A1,220,3,5,0.13,2,,352.57142857142856
A2,A26,A1,145,4,2,0.05,1,0.0,275.14285714285717
A0,A1,A1,140,3,11,0.2,1,0.0,234.14285714285714
A2,A17,A1,500,10,0,,1,0.0,
A2,A17,,90,2,127,2.15,1,58.0,431.7142857142857
A3,A124,A1,85,30,0,,1,365.0,
A2,A44,A1,225,30,0,,12,343.0,
A2,A13,A1,295,2,26,2.17,1,,427.85714285714283
A0,A25,A0,35,7,4,2.11,9,152.0,430.57142857142856
A2,A13,A1,200,1,1,0.02,1,0.0,172.14285714285714
A2,A72,A1,799,5,5,0.55,1,340.0,429.2857142857143
A0,A0,,55,4,1,0.14,1,,400.85714285714283
A2,A72,A1,200,30,3,0.28,4,311.0,426.57142857142856
A2,A35,A0,125,2,0,,1,,
A1,A47,A0,55,1,11,2.92,2,,426.85714285714283
A0,A1,A0,56,7,1,0.03,1,,279.0
A0,A15,A0,65,7,1,0.04,1,,333.0
A1,A192,A0,70,1,12,1.69,4,361.0,429.2857142857143
A0,A12,A1,250,5,0,,1,174.0,
A1,A5,A0,49,3,36,1.55,1,0.0,377.42857142857144
A0,A1,A0,300,1,4,0.2,1,0.0,377.7142857142857
A1,A92,A0,50,1,10,3.37,9,357.0,427.85714285714283
A1,A47,A1,110,20,2,0.1,1,,344.42857142857144
A2,A13,A1,160,2,6,0.11,1,,227.85714285714286
A0,A16,A1,108,3,232,3.62,1,89.0,431.7142857142857
A0,A1,A0,47,1,5,0.25,1,,362.42857142857144
A2,A26,A0,100,1,7,0.2,1,0.0,315.14285714285717
A1,A93,A1,190,3,21,1.49,1,327.0,430.0
A2,A19,A1,290,4,21,0.37,1,,405.42857142857144
A2,A83,A1,500,1,0,,1,,
A2,A26,A1,199,2,2,0.03,1,0.0,185.85714285714286
A2,A4,,199,4,32,0.34,1,28.0,423.2857142857143
A1,A9,A0,59,7,0,,1,0.0,
A1,A5,A1,130,3,50,1.27,2,352.0,431.0
A0,A62,A1,75,1,0,,1,0.0,
A0,A16,A0,47,1,17,0.97,1,0.0,371.85714285714283
A2,A35,A1,210,1,230,2.65,1,319.0,431.0
A0,A48,A0,55,15,7,0.13,2,317.0,402.42857142857144
A2,A45,A0,150,2,0,,1,31.0,
A2,A33,A0,57,7,1,1.0,3,225.0,431.0
A0,A185,A1,150,1,69,3.15,1,127.0,430.7142857142857
A2,A21,A0,56,1,2,0.05,1,0.0,270.2857142857143
A2,A19,A0,75,3,13,0.91,3,137.0,427.57142857142856
A0,A15,A1,500,2,48,0.8,1,365.0,422.85714285714283
A0,A1,A1,135,2,129,3.32,1,242.0,431.0
A0,A16,A0,50,2,0,,1,,
A0,A85,A1,170,2,8,2.79,1,,427.0
A0,A57,A1,175,3,16,1.63,1,0.0,430.0
A0,A22,A1,65,2,1,0.08,1,0.0,381.7142857142857
A2,A21,A1,250,2,29,0.76,1,0.0,371.85714285714283
A0,A1,A1,195,2,1,1.0,1,71.0,429.0
A0,A12,A0,50,31,10,0.25,3,193.0,381.57142857142856
A0,A16,A0,55,1,0,,1,0.0,
A4,A179,A1,80,1,4,4.0,1,,431.85714285714283
A1,A54,A1,168,3,133,2.64,2,336.0,427.57142857142856
A2,A6,A0,120,7,1,0.08,1,0.0,380.0
A2,A26,A0,90,2,3,0.11,1,0.0,311.42857142857144
A1,A5,A1,200,2,1,0.05,1,0.0,347.57142857142856
A2,A6,A1,267,30,0,,232,228.0,
A0,A15,A0,100,1,82,2.95,1,0.0,422.85714285714283
A0,A1,A1,89,5,10,0.23,1,64.0,335.14285714285717
A2,A13,A1,121,7,76,1.11,1,151.0,430.85714285714283
A2,A13,A0,60,30,1,0.83,32,,427.0
A2,A35,A0,86,1,7,2.84,10,115.0,430.0
A2,A35,A1,199,1,14,0.15,2,,225.0
A1,A47,A0,52,1,4,0.08,1,0.0,278.42857142857144
A0,A15,A0,120,1,8,2.79,1,80.0,431.0
A0,A0,A0,65,1,0,,1,,
A1,A5,A1,179,2,29,5.15,3,116.0,431.85714285714283
A0,A32,A1,90,4,0,,1,5.0,
A0,A22,A1,123,1,0,,1,,
A2,A61,A1,275,5,6,0.71,2,9.0,430.14285714285717
A2,A72,A1,252,2,7,1.19,327,,429.85714285714283
A2,A77,A0,175,5,2,0.08,1,,323.7142857142857
A1,A47,A0,60,7,1,1.0,1,115.0,431.7142857142857
A2,A50,A1,189,4,25,0.48,1,,420.0
A0,A0,A0,32,3,0,,1,0.0,
A0,A1,A0,36,2,0,,1,,
A2,A28,A1,180,3,18,0.21,1,,326.7142857142857
A2,A40,A0,150,4,147,2.44,1,344.0,428.57142857142856
A0,A85,A1,180,4,37,0.91,1,,431.0
A2,A26,A2,75,1,30,2.92,1,,429.7142857142857
A2,A6,A0,180,3,1,0.16,1,341.0,405.14285714285717
A1,A79,A1,100,14,0,,1,189.0,
A2,A44,A1,175,3,18,0.3,1,0.0,337.0
A3,A184,A0,29,1,2,1.43,1,18.0,428.85714285714283
A2,A44,A1,175,1,1,0.02,1,0.0,226.71428571428572
A0,A1,A1,80,3,3,0.29,1,105.0,391.14285714285717
A2,A72,A1,1000,3,10,2.07,1,310.0,427.0
A0,A15,A1,219,3,2,0.11,1,0.0,353.0
A2,A6,A0,65,2,3,1.25,1,0.0,426.0
A0,A120,A0,62,1,0,,1,0.0,
A2,A19,A1,130,5,47,0.59,1,9.0,428.2857142857143
A2,A17,A1,160,29,0,,1,0.0,
A2,A72,A1,87,30,7,0.12,52,340.0,426.57142857142856
A0,A15,A1,1000,1,9,0.66,1,88.0,421.7142857142857
A2,A17,A0,80,2,9,0.36,3,72.0,339.2857142857143
A2,A45,A0,130,2,45,4.87,3,277.0,430.0
A2,A21,A0,150,7,2,0.23,2,,395.85714285714283
A1,A47,A1,149,3,14,3.0,1,30.0,431.2857142857143
A2,A50,A1,170,3,39,0.85,1,19.0,431.2857142857143
A0,A32,A0,75,2,8,0.11,1,,145.14285714285714
A0,A18,A1,130,1,9,0.16,1,0.0,247.85714285714286
A0,A71,A1,299,2,0,,1,,
A2,A33,A0,52,3,16,0.49,1,,394.0
A0,A12,A1,149,30,9,0.13,52,,359.85714285714283
A2,A13,A0,145,1,2,0.24,2,0.0,397.42857142857144
A2,A13,A1,150,2,11,0.24,1,0.0,273.85714285714283
A0,A12,A0,49,3,59,1.12,1,99.0,427.7142857142857
A0,A1,A1,150,2,112,3.88,2,195.0,431.85714285714283
A3,A37,A1,350,3,1,0.09,1,0.0,387.0
A1,A27,A0,86,2,4,0.15,1,365.0,405.14285714285717
A1,A5,A1,199,1,12,7.06,3,283.0,431.7142857142857
A0,A1,A0,60,2,65,2.78,1,58.0,429.14285714285717
A2,A35,A0,99,4,15,4.74,2,,431.57142857142856
A0,A1,A0,35,2,1,0.05,1,0.0,339.42857142857144
A1,A5,A0,60,1,24,1.5,1,0.0,385.85714285714283
A1,A9,A0,85,10,27,0.71,1,125.0,426.0
A2,A19,A0,90,2,24,2.39,1,,431.7142857142857
A2,A141,A1,240,4,0,,1,0.0,
A0,A15,A0,90,2,15,0.41,1,188.0,430.85714285714283
A2,A21,A1,220,4,13,0.93,1,2.0,430.85714285714283
A2,A72,A1,175,1,15,0.29,1,,234.57142857142858
A0,A16,A1,89,2,3,0.77,1,25.0,426.14285714285717
A2,A4,A0,100,1,9,3.42,9,275.0,429.7142857142857
A2,A21,A0,149,3,1,0.06,2,0.0,364.85714285714283
A2,A7,A1,95,1,2,0.04,1,,242.28571428571428
A3,A169,A1,120,2,47,1.22,1,318.0,431.2857142857143
A0,A1,A0,45,6,30,2.06,1,21.0,429.42857142857144
A0,A34,A0,75,4,4,0.33,5,0.0,397.85714285714283
A2,A26,A1,135,1,20,2.74,1,1.0,415.14285714285717
A0,A1,A1,150,2,18,3.94,3,299.0,431.7142857142857
A2,A4,A1,213,30,0,,232,303.0,
A2,A38,A1,130,29,0,,327,337.0,
A0,A1,A1,400,2,13,5.34,1,278.0,429.85714285714283
A0,A25,A0,60,3,11,1.17,5,347.0,424.7142857142857
A2,A6,A1,200,2,3,0.26,1,0.0,387.57142857142856
A2,A44,A1,400,2,0,,1,47.0,
A0,A15,A0,100,2,6,0.28,1,0.0,360.0
A0,A12,A0,97,5,3,0.06,1,0.0,233.28571428571428
A0,A1,A0,42,30,1,0.58,27,346.0,424.85714285714283
A2,A72,A1,240,3,6,0.4,1,0.0,425.85714285714283
A0,A12,A0,67,4,0,,1,0.0,
A0,A15,A0,90,1,0,,1,0.0,
A2,A6,A1,189,1,4,0.61,1,74.0,431.85714285714283
A0,A1,A2,725,1,0,,1,0.0,
A1,A23,A0,60,2,81,4.1,1,34.0,431.57142857142856
A0,A0,A1,100,4,8,0.29,3,6.0,405.42857142857144
A2,A26,A1,138,30,0,,49,365.0,
A0,A22,A1,98,4,106,2.59,3,273.0,430.0
A4,A139,A0,80,1,29,3.4,1,362.0,431.85714285714283
A0,A71,A1,1000,2,0,,1,365.0,
A2,A7,,120,1,3,0.22,2,179.0,390.2857142857143
A2,A6,A0,105,1,0,,1,0.0,
A0,A1,A1,130,3,1,0.16,1,0.0,405.2857142857143
A1,A79,A1,65,6,19,1.88,2,7.0,428.7142857142857
A3,A20,A0,60,2,63,1.68,4,336.0,430.0
A1,A47,A0,79,15,9,0.26,2,259.0,405.42857142857144
A2,A26,A1,225,4,10,0.17,1,348.0,426.14285714285717
A0,A1,A0,42,3,3,0.12,2,0.0,327.85714285714283
A1,A31,A1,90,2,54,2.69,1,283.0,431.85714285714283
A2,A44,A0,86,7,0,,1,0.0,
A0,A15,A1,116,1,55,1.89,1,0.0,393.7142857142857
A0,A22,A1,350,7,1,0.38,2,77.0,420.85714285714283
A1,A5,A1,108,4,3,0.06,1,0.0,244.14285714285714
A2,A33,A1,87,2,5,0.23,1,,426.2857142857143
A2,A41,A1,100,15,5,0.11,1,0.0,239.28571428571428
A2,A35,A2,35,14,0,,28,322.0,
A2,A35,,180,3,5,0.13,1,,393.14285714285717
A0,A12,A0,40,1,0,,1,,
A0,A15,A1,120,14,4,0.66,1,,419.0
A1,A93,A1,250,2,48,1.93,1,280.0,430.85714285714283
A0,A15,A1,325,2,87,2.45,1,,428.85714285714283
A2,A45,A1,300,2,2,0.05,1,0.0,286.0
A2,A14,A0,100,30,5,0.07,1,359.0,401.0
A0,A10,A1,120,3,125,4.51,2,61.0,430.14285714285717
A0,A0,A1,200,3,2,0.24,1,362.0,404.85714285714283
A0,A99,A1,94,3,5,0.14,1,0.0,353.7142857142857
A2,A26,A1,130,30,3,0.08,29,308.0,384.57142857142856
A0,A12,A0,68,1,55,3.72,7,38.0,430.57142857142856
A1,A135,A1,85,2,17,2.63,1,,430.0
A2,A41,A0,100,1,2,1.36,7,,427.0
A0,A0,A0,45,3,0,,2,320.0,
A0,A15,A1,250,2,3,0.32,2,0.0,405.14285714285717
A1,A5,A1,90,14,0,,1,0.0,
A2,A44,A0,199,2,0,,1,0.0,
A0,A15,A0,128,3,22,1.43,1,305.0,428.57142857142856
A2,A28,A1,225,5,10,0.1,1,91.0,423.7142857142857
A0,A0,A1,188,3,11,0.45,1,,386.57142857142856
A0,A1,A1,135,3,8,0.14,1,,232.42857142857142
A0,A1,A0,45,29,0,,2,,
A0,A59,A1,120,3,2,0.1,1,0.0,344.0
A0,A16,A0,80,3,2,0.1,1,0.0,348.57142857142856
A2,A61,A1,150,5,0,,1,0.0,
A1,A47,A2,33,1,11,0.46,1,0.0,342.85714285714283
A4,A55,A1,122,1,52,2.0,3,219.0,429.85714285714283
A0,A76,A1,70,2,2,0.19,1,0.0,405.2857142857143
A2,A26,A1,350,31,1,0.34,33,342.0,419.57142857142856
A2,A21,A1,90,4,4,0.22,1,5.0,423.0
A2,A26,A1,220,30,0,,33,334.0,
A0,A1,A1,175,4,44,2.66,1,249.0,430.0
A2,A72,A1,200,5,10,1.41,1,52.0,431.2857142857143
A2,A7,A0,100,1,22,0.81,1,0.0,383.85714285714283
A2,A14,A0,90,1,103,2.4,1,239.0,430.42857142857144
A0,A16,A0,40,2,21,2.08,5,343.0,428.14285714285717
A2,A4,A0,98,1,19,1.25,1,0.0,401.85714285714283
A0,A15,A0,60,4,87,1.75,1,96.0,430.42857142857144
A0,A1,A1,170,2,0,,4,89.0,
A1,A69,A1,101,1,32,4.4,1,135.0,430.0
A2,A17,A0,45,7,0,,1,0.0,
A1,A47,A1,180,1,7,0.61,2,0.0,426.0
A1,A90,A0,55,1,51,2.29,1,65.0,429.7142857142857
A2,A72,A0,80,7,0,,1,,
A2,A4,A0,129,1,3,1.48,20,358.0,429.85714285714283
A0,A15,A1,169,1,68,0.67,2,215.0,427.57142857142856
A0,A15,A0,70,6,1,0.1,1,287.0,387.2857142857143
A0,A59,A1,139,30,4,0.11,1,330.0,425.57142857142856
A0,A71,A1,250,4,70,3.51,3,174.0,431.85714285714283
A2,A45,A1,102,1,3,0.07,1,,258.2857142857143
A1,A39,A0,39,1,2,0.04,1,,232.0
A0,A0,A0,33,29,0,,1,0.0,
A2,A19,A1,80,3,31,0.56,1,68.0,430.7142857142857
A2,A4,A1,96,115,45,0.63,19,210.0,415.57142857142856
A0,A12,A1,450,3,5,1.06,1,43.0,428.42857142857144
A2,A40,A0,149,4,10,0.65,2,0.0,405.2857142857143
A2,A19,A0,65,3,5,3.0,1,33.0,430.2857142857143
A2,A4,A1,159,3,1,0.03,1,,301.0
A0,A1,A0,51,1,1,0.25,2,0.0,415.0
A0,A57,A1,198,2,2,2.0,1,,431.57142857142856
A2,A17,A1,195,1,11,7.5,3,33.0,430.14285714285717
A2,A44,A1,200,30,9,0.17,4,342.0,381.42857142857144
A0,A48,A1,300,3,8,0.83,1,,430.14285714285717
A1,A23,A0,42,30,0,,23,220.0,
A2,A72,A1,207,29,1,0.08,96,,380.42857142857144
A0,A18,A1,110,3,39,0.85,1,,405.14285714285717
A0,A29,A1,179,2,77,0.97,1,,430.0
A3,A37,A2,45,1,7,0.14,7,365.0,431.0
A2,A6,A0,80,1,117,3.34,1,,360.57142857142856
A0,A1,A0,79,1,291,6.26,7,26.0,430.7142857142857
A0,A1,A1,500,1,1,0.02,2,362.0,230.85714285714286
A2,A66,A1,325,2,5,1.24,1,31.0,426.0
A2,A13,A0,90,3,0,,2,112.0,
A2,A7,A1,185,1,5,1.2,1,,422.85714285714283
A0,A16,A1,159,4,2,2.0,1,28.0,431.14285714285717
A2,A21,A0,75,6,3,0.06,1,,301.7142857142857
A0,A1,A1,70,30,3,0.42,3,281.0,422.14285714285717
A1,A9,A1,100,1,1,0.02,1,0.0,165.14285714285714
A0,A185,A1,170,4,12,1.17,1,,428.0
A0,A1,A0,60,30,27,2.7,4,319.0,427.42857142857144
A1,A2,A0,65,1,122,3.16,1,,430.0
A0,A22,A0,47,2,91,1.73,2,,431.85714285714283
A2,A4,A1,275,3,63,1.02,1,323.0,428.85714285714283
A2,A26,A1,125,30,5,0.26,91,347.0,402.57142857142856
A1,A84,A0,35,15,38,1.4,5,311.0,377.85714285714283
A2,A72,A2,43,2,2,1.43,3,358.0,426.7142857142857
A0,A16,A0,50,2,1,1.0,2,0.0,430.14285714285717
A2,A21,A1,165,4,8,0.21,1,351.0,394.85714285714283
A0,A15,A1,265,2,4,0.29,2,,392.85714285714283
A2,A26,A2,59,1,7,0.34,1,0.0,390.85714285714283
A2,A4,A1,179,10,1,0.03,1,,301.14285714285717
A0,A15,A1,350,3,17,0.55,1,129.0,405.7142857142857
A2,A21,A1,175,1,9,0.24,1,31.0,274.0
A1,A2,A0,49,4,0,,2,63.0,
A2,A21,A1,219,2,3,0.09,1,306.0,426.57142857142856
A1,A27,,70,30,0,,103,269.0,
A0,A22,A0,42,10,1,0.1,1,,389.2857142857143
A0,A1,A0,41,3,1,1.0,1,57.0,431.14285714285717
A2,A21,A0,200,3,2,0.08,1,,325.0
A0,A22,A0,46,3,0,,1,,
A2,A38,A1,235,3,3,0.09,1,0.0,290.85714285714283
A0,A12,A0,0,2,12,0.53,2,0.0,343.57142857142856
A2,A40,A1,130,3,26,0.32,2,19.0,430.57142857142856
A0,A15,,93,2,7,0.23,1,146.0,388.14285714285717
A2,A38,A1,201,2,20,4.11,327,333.0,429.57142857142856
A1,A47,A0,79,1,39,0.83,1,,431.7142857142857
A2,A4,A1,96,1,32,2.03,1,2.0,426.85714285714283
A2,A7,A0,150,2,18,1.8,3,112.0,429.57142857142856
A2,A26,,80,1,3,0.42,5,,403.57142857142856
A0,A100,A1,90,3,44,1.82,1,,430.2857142857143
A2,A26,A0,129,1,1,1.0,1,147.0,431.85714285714283
A2,A35,A1,250,3,9,0.53,1,0.0,376.14285714285717
A2,A41,A1,170,20,1,0.07,4,0.0,374.14285714285717
A2,A13,A1,208,3,0,,1,150.0,
A0,A15,A1,160,3,1,0.02,1,0.0,179.0
A1,A9,A2,105,1,19,0.54,1,364.0,425.85714285714283
A2,A21,A0,120,1,0,,1,0.0,
A2,A40,A1,225,3,0,,1,0.0,
A0,A15,A0,99,2,35,0.68,3,76.0,301.0
A2,A38,A0,80,30,1,0.32,1,339.0,418.57142857142856
A0,A62,A1,160,30,36,1.21,1,53.0,428.0
A2,A44,A1,200,7,2,0.1,1,0.0,353.0
A2,A83,A1,600,1,2,2.0,1,80.0,430.57142857142856
A2,A50,A0,80,2,152,5.01,1,,431.57142857142856
A0,A0,A0,80,3,2,0.09,1,0.0,339.14285714285717
A0,A0,A1,100,50,8,0.33,1,0.0,353.14285714285717
A2,A14,A1,220,28,2,0.08,1,365.0,334.7142857142857
A2,A50,A1,160,6,65,1.19,1,7.0,431.57142857142856
A0,A22,A0,50,3,98,2.77,2,,429.42857142857144
A0,A63,A0,89,2,0,,1,,
A2,A19,A0,36,1,3,0.08,1,0.0,274.14285714285717
A2,A14,A1,175,3,45,1.05,1,0.0,381.14285714285717
A0,A16,A0,45,4,2,0.05,1,0.0,292.14285714285717
A2,A45,A1,180,1,0,,1,0.0,
A0,A18,A1,200,3,1,1.0,1,357.0,428.42857142857144
A2,A6,A0,155,1,200,4.07,11,240.0,428.85714285714283
A0,A62,A0,80,2,1,0.16,2,65.0,405.2857142857143
A2,A21,A1,300,6,1,0.16,1,,405.0
A0,A22,A0,39,3,13,0.38,1,186.0,431.57142857142856
A2,A4,A0,49,1,40,1.63,1,,427.85714285714283
A1,A118,A0,65,7,40,1.51,5,148.0,429.85714285714283
A2,A13,A1,300,5,0,,1,83.0,
A2,A17,A1,130,1,77,4.16,1,21.0,429.7142857142857
A0,A15,A1,170,1,1,1.0,1,77.0,430.57142857142856
A1,A2,A1,85,30,3,0.2,15,256.0,430.85714285714283
A2,A7,A2,30,1,17,0.94,4,0.0,373.57142857142856
A0,A16,A0,48,7,61,0.87,1,0.0,411.57142857142856
A2,A7,A1,225,2,31,0.7,1,160.0,427.85714285714283
A0,A0,A1,184,2,40,1.78,1,0.0,391.0
A0,A1,A0,50,3,3,0.08,1,0.0,266.85714285714283
A2,A44,A1,350,3,3,0.14,2,0.0,353.0
A2,A6,A1,225,5,13,0.24,1,0.0,391.57142857142856
A3,A161,,55,1,0,,2,,
A2,A6,A1,190,4,16,1.24,2,,427.7142857142857
A1,A58,A0,68,1,0,,1,0.0,
A2,A28,A0,140,1,78,2.23,1,321.0,428.85714285714283
A0,A59,A1,120,5,0,,1,190.0,
A0,A59,A0,50,2,2,0.17,1,0.0,386.42857142857144
A2,A127,A0,93,2,7,0.32,3,0.0,392.7142857142857
A2,A6,A0,70,1,30,6.08,2,193.0,428.0
A0,A0,A0,82,2,21,1.94,1,175.0,430.85714285714283
A2,A6,A0,209,1,6,1.01,8,88.0,426.57142857142856
A2,A26,A1,260,2,8,0.23,1,0.0,373.2857142857143
A2,A35,A1,124,28,12,0.43,1,,421.0
A0,A64,A1,150,14,1,0.03,1,0.0,281.2857142857143
A2,A4,A1,195,3,0,,1,252.0,
A2,A13,A1,129,10,29,0.54,1,,431.14285714285717
A0,A12,A1,189,2,9,3.51,1,60.0,430.14285714285717
A0,A15,A1,200,4,50,1.24,1,50.0,429.2857142857143
A2,A21,A1,136,2,6,0.42,1,,426.85714285714283
A0,A1,A1,90,3,17,4.15,1,91.0,428.7142857142857
A2,A21,A1,150,5,1,0.02,1,0.0,242.0
A0,A25,A1,125,3,18,1.53,1,48.0,429.7142857142857
A1,A23,A0,65,2,132,2.54,1,261.0,430.0
A2,A35,A1,150,3,8,1.18,1,163.0,430.0
A0,A1,A1,150,4,11,0.29,1,0.0,428.14285714285717
A2,A40,A1,155,3,18,3.1,1,70.0,429.57142857142856
A2,A72,A1,135,1,0,,1,0.0,
A0,A15,A0,70,3,30,0.6,1,364.0,397.2857142857143
A1,A2,A0,68,1,222,4.48,2,330.0,431.42857142857144
A1,A103,A0,49,4,6,0.95,2,111.0,431.7142857142857
A2,A14,A1,180,4,31,2.14,1,10.0,431.14285714285717
A1,A5,unknown,80,1,161,5.74,3,365.0,431.14285714285717
A0,A62,A1,80,30,18,0.31,1,161.0,339.7142857142857
A1,A56,A0,55,2,29,2.96,4,149.0,429.42857142857144
A0,A1,A0,65,2,0,,1,0.0,
A2,A17,unknown,68,2,28,1.75,2,53.0,426.7142857142857
A2,A35,A1,305,2,6,0.43,1,66.0,405.0
A2,A77,A1,105,15,33,0.69,2,5.0,405.2857142857143
A2,A13,A1,85,2,7,0.18,1,0.0,273.85714285714283
A2,A19,A0,115,3,3,2.05,3,179.0,430.85714285714283
A2,A67,A1,320,3,168,2.7,1,269.0,430.85714285714283
A2,A14,A1,220,2,0,,1,0.0,
A1,A23,A2,55,30,2,0.1,6,365.0,395.85714285714283
A0,A1,A0,59,3,13,0.26,2,,333.57142857142856
A2,A4,A1,139,5,0,,1,29.0,
A0,A1,A0,42,30,1,0.33,27,342.0,419.0
A2,A19,A0,50,2,0,,1,0.0,
A2,A13,A1,250,2,18,0.38,2,0.0,372.7142857142857
A2,A6,A1,225,2,0,,1,270.0,
A0,A25,A2,60,1,1,0.1,1,0.0,387.85714285714283
A0,A15,A1,350,2,22,1.15,1,132.0,428.2857142857143
A0,A15,A0,60,3,1,0.03,1,0.0,301.14285714285717
A2,A21,A1,140,2,0,,1,0.0,
A1,A47,A0,50,1,10,0.53,1,,430.85714285714283
A0,A1,A0,60,5,9,0.19,2,33.0,430.14285714285717
A0,A0,A0,40,1,0,,1,0.0,
A3,A123,A1,57,90,11,0.31,7,,423.57142857142856
A0,A16,A0,45,7,0,,1,10.0,
A0,A16,A0,100,1,2,0.09,1,269.0,353.0
A2,A17,A0,109,1,1,0.16,6,,405.14285714285717
A2,A72,A1,150,30,0,,8,342.0,
A0,A15,A1,120,30,1,0.05,1,,352.85714285714283
A2,A21,A1,199,2,1,0.02,1,0.0,243.71428571428572
A0,A1,A0,43,1,0,,1,220.0,
A2,A45,A1,145,2,26,0.43,1,269.0,426.7142857142857
A2,A17,A1,135,5,76,1.28,1,,431.7142857142857
A0,A1,A0,33,29,0,,37,0.0,
A1,A47,A0,90,1,30,2.58,6,,428.0
A0,A1,A1,250,5,1,0.4,1,0.0,421.42857142857144
A0,A1,A0,90,2,2,2.0,2,1.0,429.14285714285717
A2,A26,A1,105,14,7,0.16,1,84.0,405.85714285714283
A0,A15,A0,50,1,1,0.02,4,0.0,240.85714285714286
A2,A19,A0,80,2,1,0.71,1,29.0,426.14285714285717
A2,A17,A0,55,2,7,0.23,1,0.0,364.14285714285717
A2,A26,A1,130,7,5,0.21,1,,431.7142857142857
A0,A16,A0,50,7,0,,1,0.0,
A2,A26,A1,140,3,1,0.22,1,0.0,412.85714285714283
A0,A22,A1,95,2,41,2.13,2,0.0,426.0
A2,A17,A1,145,30,0,,2,,
A2,A91,A0,159,3,0,,1,0.0,
A2,A17,A1,199,4,2,0.05,1,0.0,289.14285714285717
A0,A71,A0,49,1,9,0.19,1,98.0,333.7142857142857
A1,A75,A1,207,1,13,1.84,1,346.0,429.85714285714283
A0,A10,A1,115,2,97,3.68,1,,431.2857142857143
A2,A44,A0,125,1,0,,1,0.0,
A2,A45,A1,100,3,3,0.05,1,0.0,232.42857142857142
A2,A4,A0,90,3,5,0.11,1,0.0,278.0
A2,A13,A1,3000,30,8,0.24,11,365.0,297.7142857142857
A0,A16,A2,25,4,27,3.01,5,49.0,429.14285714285717
A2,A13,A1,115,88,5,0.22,1,220.0,390.14285714285717
A0,A16,A0,49,4,19,0.35,2,0.0,398.42857142857144
A0,A16,A1,105,3,118,1.05,2,9.0,429.14285714285717
A2,A44,A1,245,2,7,4.57,1,257.0,430.85714285714283
A0,A15,A1,175,4,5,0.32,1,0.0,428.85714285714283
A2,A4,A1,180,6,5,0.56,1,0.0,405.0
A1,A54,A1,300,1,0,,1,0.0,
A0,A16,A0,50,1,2,0.06,26,365.0,292.14285714285717
A1,A150,A1,150,2,2,2.0,1,45.0,429.85714285714283
A0,A10,A1,150,2,0,,3,0.0,
A3,A143,A1,75,1,0,,1,0.0,
A0,A15,A0,65,3,2,0.13,1,0.0,369.42857142857144
A1,A178,A0,39,1,44,4.93,3,89.0,431.85714285714283
A2,A13,A1,300,30,93,1.24,1,284.0,427.7142857142857
A0,A36,A0,90,7,43,0.52,1,38.0,430.7142857142857
A0,A16,A0,33,1,8,0.96,1,64.0,405.2857142857143
A2,A45,A1,220,4,0,,1,78.0,
A0,A25,A1,100,2,0,,1,,
A0,A62,A1,185,30,2,0.07,1,337.0,318.14285714285717
A2,A17,A0,69,1,4,0.29,11,365.0,386.42857142857144
A1,A2,A0,88,3,1,1.0,3,336.0,428.85714285714283
A2,A38,A1,75,1,1,1.0,1,181.0,431.2857142857143
A4,A106,A0,50,2,8,0.77,7,,421.85714285714283
A0,A85,A1,150,2,0,,1,0.0,
